Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"489179000","2415200","3269","3675.6",""
"490012000","2415200","3268","3682.3",""
"490847000","2325900","3268","3688.7",""
"491680000","2325900","3269","3695.0",""
"492764000","2325900","3269","3703.3",""
"493656000","2325900","3269","3710.0",""
"494491000","2325900","3269","3716.7",""
"495325000","2325900","3269","3723.0",""
"496164000","2325900","3270","3729.3",""
"497247000","2325900","3269","3737.6",""
"498138000","2312400","3269","3744.3",""
"498971000","2312400","3270","3751.0",""
"499805000","2312400","3269","3757.3",""
"500639000","2312400","3269","3763.6",""
"501723000","2312400","3270","3771.9",""
"502613000","2312400","3270","3778.6",""
"503447000","2312400","3270","3785.3",""
"504281000","2312400","3270","3791.6",""
"505114000","2331200","3270","3798.0",""
"506204000","2331200","3270","3806.2",""
"507095000","2331200","3271","3813.0",""
"507929000","2331200","3270","3819.3",""
"508761000","2331200","3270","3826.0",""
"509595000","2331200","3270","3832.3",""
"510679000","2331200","3270","3840.6",""
"511571000","2331200","3271","3847.3",""
"512405000","2312200","3271","3853.6",""
"513239000","2312200","3271","3859.9",""
"514071000","2312200","3270","3866.6",""
"515156000","2312200","3270","3874.9",""
"516053000","2312200","3271","3881.6",""
"516887000","2312200","3271","3888.3",""
"517721000","2312200","3271","3893.4",""
"518560000","2312200","3271","3898.2",""
"519644000","2312200","3271","3903.7",""
"520537000","2057000","3271","3908.8",""
"521371000","2057000","3271","3915.1",""
"522204000","2057000","3271","3921.8",""
"523038000","2057000","3272","3928.5",""
"524122000","2057000","3271","3937.6",""
"525014000","2057000","3271","3944.7",""
"525853000","2057000","3271","3951.8",""
"526687000","2057000","3271","3958.5",""
"527521000","2431800","3271","3964.8",""
"528605000","2431800","3272","3972.3",""
"529497000","2431800","3272","3979.4",""
"530331000","2431800","3272","3985.0",""
"531166000","2431800","3271","3991.7",""
"532000000","2431800","3271","3997.6",""
"533084000","2431800","3271","4005.5",""
"533976000","2431800","3271","4012.2",""
"534810000","2213900","3272","4018.1",""
"535650000","2213900","3272","4024.8",""
"536484000","2213900","3272","4030.3",""
"537568000","2213900","3272","4038.6",""
"538459000","2213900","3272","4044.5",""
"539292000","2213900","3271","4051.2",""
"540126000","2213900","3271","4057.5",""
"540960000","2213900","3271","4063.1",""
"542043000","2247700","3271","4071.7","0x23D39B7280004808"
"542935000","2247700","3271","4077.7","0x3D39F3A80004870"
"543769000","2247700","3271","4084.0",""
"544603000","2247700","3271","4089.9","0x23D39B7280004808"
"545437000","2247700","3271","4096.2","0x3D39ED880004870"
"546526000","2247700","3271","4104.1",""
"547419000","2247700","3271","4110.4",""
"548252000","2247700","3271","4117.1",""
"549086000","2189400","3270","4122.6",""
"549920000","2189400","3270","4128.9",""
"551003000","2189400","3270","4136.8",""
"551894000","2189400","3270","4143.5",""
"552727000","2189400","3271","4149.8",""
"553562000","2189400","3270","4155.8",""
"554396000","2189400","3270","4162.1",""
"555486000","2189400","3270","4169.6",""
"556377000","2246100","3270","4176.7",""
"557211000","2246100","3270","4182.6",""
"558044000","2246100","3270","4188.5",""
"558879000","2246100","3270","4195.2",""
"560068000","2246100","3270","4203.5",""
"560903000","2246100","3270","4209.8",""
"561735000","2246100","3270","4215.3",""
"562567000","2246100","3270","4222.0",""
"563402000","2229300","3270","4228.3","0x23D39B7280004808"
"564485000","2229300","3270","4235.8","0x3D39F3080004870"
"565376000","2229300","3270","4242.9",""
"566217000","2229300","3269","4248.5",""
"567051000","2229300","3269","4255.2",""
"567884000","2229300","3269","4260.7",""
"568969000","2229300","3269","4269.0",""
"569860000","2229300","3270","4275.3",""
"570693000","2213100","3270","4281.6",""
"571528000","2213100","3270","4287.9",""
"572361000","2213100","3269","4293.4",""
"573445000","2213100","3269","4302.1",""
"574336000","2213100","3269","4308.0",""
"575170000","2213100","3269","4314.3",""
"576009000","2213100","3269","4320.7",""
"576841000","2213100","3269","4326.6",""
"577925000","2231700","3269","4334.9","0x23D39B7280004808"
"578815000","2231700","3269","4340.8","0x3D3BD3A80004870"
"579648000","2231700","3269","4347.5",""
"580482000","2231700","3268","4353.4",""
"581316000","2231700","3268","4359.7",""
